City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Palana,RU,2020-08-22 02:18:22,59.12,159.97,46.87,100,100,9.51
70,Cape Town,ZA,2020-08-22 02:18:22,-33.93,18.42,45.0,100,0,2.24
71,Plettenberg Bay,ZA,2020-08-22 02:15:35,-34.05,23.37,58.57,47,0,4.43
72,Thompson,CA,2020-08-22 02:18:23,55.74,-97.86,51.8,87,75,2.24
73,Kingisepp,RU,2020-08-22 02:18:23,59.37,28.61,56.1,86,91,5.12
74,Chara,RU,2020-08-22 02:18:23,56.91,118.26,64.29,46,18,2.19
75,Muscat,OM,2020-08-22 02:14:18,23.61,58.59,82.4,94,98,8.05
76,Port Alfred,ZA,2020-08-22 02:18:24,-33.59,26.89,58.24,62,37,8.01
77,Tiksi,RU,2020-08-22 02:18:24,71.69,128.87,40.26,90,100,9.89
78,Yellowknife,CA,2020-08-22 02:18:24,62.46,-114.35,55.4,58,75,10.29
79,Minturno,IT,2020-08-22 02:14:25,41.26,13.72,73.99,88,0,2.17
80,Busselton,AU,2020-08-22 02:18:25,-33.65,115.33,63.0,52,91,10.02
81,Barrow,US,2020-08-22 02:15:02,71.29,-156.79,51.8,76,1,11.41
82,Carnarvon,AU,2020-08-22 02:18:25,-24.87,113.63,69.8,52,85,4.7
83,Coldwater,US,2020-08-22 02:17:37,41.94,-85.0,70.0,77,1,3.22
84,Bethel,US,2020-08-22 02:15:37,41.37,-73.41,73.99,73,1,3.91
85,Jamestown,US,2020-08-22 02:18:26,42.1,-79.24,66.99,72,1,1.79
86,Maamba,ZM,2020-08-22 02:18:26,-17.37,27.15,63.88,70,0,6.87
87,Mozarlandia,BR,2020-08-22 02:18:26,-14.74,-50.57,72.09,49,0,13.15
88,Guerrero Negro,MX,2020-08-22 02:18:26,27.98,-114.06,85.87,51,0,19.89
89,Lavrentiya,RU,2020-08-22 02:18:27,65.58,-171.0,48.9,88,100,8.52
90,Constitucion,CL,2020-08-22 02:18:27,-35.33,-72.42,53.58,79,0,3.53
91,Canico,PT,2020-08-22 02:18:27,32.63,-16.85,73.4,83,75,9.17
92,Harsin,IR,2020-08-22 02:18:27,34.27,47.59,62.6,23,0,4.7
93,Koscierzyna,PL,2020-08-22 02:18:27,54.12,17.98,73.4,53,80,9.17
94,Pevek,RU,2020-08-22 02:18:28,69.7,170.31,40.86,86,100,7.47
95,Kirkwall,GB,2020-08-22 02:18:28,58.98,-2.96,57.2,93,18,12.75
96,Simbahan,PH,2020-08-22 02:18:28,6.3,120.58,84.09,75,37,11.65
97,Bambous Virieux,MU,2020-08-22 02:18:28,-20.34,57.76,68.0,82,40,6.93
98,Avarua,CK,2020-08-22 02:15:27,-21.21,-159.78,77.0,78,1,19.46
99,Sioux Lookout,CA,2020-08-22 02:18:29,50.1,-91.92,71.6,73,75,3.36
100,Aldan,RU,2020-08-22 02:18:29,58.6,125.39,51.31,84,97,4.81
101,Irbeyskoye,RU,2020-08-22 02:18:29,55.64,95.45,63.61,68,65,4.41
102,Katsuura,JP,2020-08-22 02:18:29,35.13,140.3,91.99,74,20,10.29
103,Faanui,PF,2020-08-22 02:18:30,-16.48,-151.75,77.54,80,11,22.68
104,Mataura,NZ,2020-08-22 02:18:30,-46.19,168.86,55.0,75,12,8.99
105,Alofi,NU,2020-08-22 02:15:06,-19.06,-169.92,80.6,78,74,11.41
106,Ust-Kuyga,RU,2020-08-22 02:18:30,70.02,135.6,38.46,87,98,4.92
107,Victoria,HK,2020-08-22 02:14:06,22.29,114.16,91.0,76,1,2.24
108,Franca,BR,2020-08-22 02:18:31,-20.54,-47.4,51.85,96,100,8.08
109,Axim,GH,2020-08-22 02:18:31,4.87,-2.24,74.68,89,33,7.94
110,Dongsheng,CN,2020-08-22 02:18:31,39.82,109.98,64.78,75,93,20.87
111,Ambulu,ID,2020-08-22 02:18:31,-8.35,113.61,82.27,57,98,4.03
112,Nikolskoye,RU,2020-08-22 02:18:32,59.7,30.79,57.2,71,96,4.47
113,Saint-Philippe,RE,2020-08-22 02:18:32,-21.36,55.77,66.2,52,82,8.05
114,Husavik,IS,2020-08-22 02:18:32,66.04,-17.34,44.6,87,90,3.36
115,Hilo,US,2020-08-22 02:18:33,19.73,-155.09,84.2,62,1,10.29
116,Huancavelica,PE,2020-08-22 02:18:33,-12.77,-74.98,40.37,86,82,1.3
117,Bay Roberts,CA,2020-08-22 02:18:33,47.6,-53.26,61.0,40,100,12.1
118,Rio Gallegos,AR,2020-08-22 02:18:33,-51.62,-69.22,44.6,65,40,3.36
119,College,US,2020-08-22 02:18:34,64.86,-147.8,68.0,56,75,6.11
120,Kodiak,US,2020-08-22 02:18:34,57.79,-152.41,69.8,52,1,6.93
121,Valence,ES,2020-08-22 02:13:57,39.47,-0.38,77.0,88,0,2.24
122,Kavieng,PG,2020-08-22 02:18:34,-2.57,150.8,84.25,71,1,7.9
123,Arlit,NE,2020-08-22 02:18:35,18.74,7.39,92.21,34,0,8.46
124,Eenhana,NA,2020-08-22 02:18:35,-17.47,16.33,55.4,20,88,3.36
125,Provideniya,RU,2020-08-22 02:18:35,64.38,-173.3,49.28,89,100,11.5
126,Tevriz,RU,2020-08-22 02:18:36,57.51,72.4,53.22,94,6,4.76
127,Atuona,PF,2020-08-22 02:18:36,-9.8,-139.03,79.05,74,13,10.25
128,Lompoc,US,2020-08-22 02:18:36,34.64,-120.46,66.0,87,90,9.17
129,Tasiilaq,GL,2020-08-22 02:18:36,65.61,-37.64,48.2,68,0,10.29
130,Porto Novo,BJ,2020-08-22 02:18:36,6.5,2.6,75.2,94,20,8.05
131,Georgetown,MY,2020-08-22 02:15:08,5.41,100.34,80.6,94,20,4.7
132,Kamenka,RU,2020-08-22 02:18:37,51.32,42.77,48.99,77,82,1.99
